YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2001,8,9,7.22,7.51,4.35,0.67,0.78,430.18,144.8,149.17,19.27,0.55,2.91
2001,8,10,7.01,7.56,3.73,0.66,0.76,428.03,141.3,150.13,18.94,0.55,2.88
2001,8,11,7.16,7.5,2.38,0.67,0.78,425.88,143.44,148.47,19.07,0.55,2.87
2001,8,12,6.01,7.28,5.05,0.56,0.66,430.9,120.86,142.77,16.28,0.45,2.34
2001,8,13,5.81,7.3,5.77,0.55,0.63,436.39,118.01,144.18,16.12,0.47,2.44
2001,8,14,4.88,7.29,5.41,0.46,0.53,438.18,101.12,145.06,14.23,0.41,2.12
2001,8,15,5.42,7.43,4.02,0.51,0.59,439.28,111.95,148.09,15.68,0.47,2.4
2001,8,16,4.27,7.39,4.8,0.41,0.47,440.77,90.38,147.59,13,0.38,1.92
2001,8,17,6.73,7.41,7.08,0.63,0.74,435.73,134.89,146.47,18.07,0.51,2.66
2001,8,18,6.72,7.37,6,0.63,0.74,428.24,133.77,144.37,17.85,0.51,2.63
2001,8,19,6.41,7.42,5.63,0.61,0.71,433.31,127.07,144.68,17.02,0.48,2.48
2001,8,20,6.68,7.32,5.21,0.63,0.74,434.16,133.86,144.48,17.91,0.52,2.73
2001,8,21,6.3,7.18,3.61,0.6,0.7,437.34,127.37,142.74,17.1,0.51,2.66
2001,8,22,5.25,7.02,4.68,0.5,0.59,447.32,107.65,139.43,14.71,0.44,2.27
2001,8,23,1.43,6.96,8.05,0.13,0.16,450.58,31.7,138.1,4.79,0.13,0.68
2001,8,24,1.81,7.02,6.56,0.17,0.2,442.01,40.35,139.54,6.18,0.18,0.94
2001,8,25,4.76,7.13,3.37,0.45,0.53,438.37,98.86,141.52,13.81,0.41,2.09
2001,8,26,5.04,7.19,1.38,0.48,0.56,440.62,104.16,143.46,14.63,0.42,2.17
2001,8,27,5.2,7.1,1.4,0.5,0.59,437.94,107.22,141.43,14.94,0.44,2.26
2001,8,28,6.48,7.14,3.36,0.62,0.73,433.13,130.45,141.7,17.48,0.51,2.61
2001,8,29,5.42,7.13,4.14,0.52,0.62,436.17,110.81,141.69,15.32,0.45,2.34
2001,8,30,4.17,7.05,4.73,0.41,0.48,438.05,87.62,140,12.47,0.38,1.94
2001,8,31,3,7.05,6.4,0.29,0.34,442.82,64.57,140.57,9.55,0.3,1.51
2001,9,1,2.31,7.07,6.9,0.23,0.27,441.84,50.4,140.98,7.56,0.23,1.16
2001,9,2,3.75,7.01,5.84,0.37,0.43,441.16,79.52,139.6,11.53,0.34,1.76
2001,9,3,5.37,7.1,4.28,0.52,0.62,439.09,109.93,141.74,15.23,0.45,2.37
2001,9,4,3.71,6.93,5.36,0.36,0.43,437.48,78.42,137.77,11.23,0.33,1.68
2001,9,5,2.81,6.7,7.77,0.27,0.33,439.23,60.12,132.23,8.7,0.27,1.34
2001,9,6,1.33,6.91,7.05,0.13,0.16,441.48,29.88,137.41,4.68,0.14,0.72
2001,9,7,1.07,6.72,8.31,0.11,0.12,439.05,24.31,133.09,3.8,0.12,0.6
2001,9,8,2.22,6.65,6.98,0.22,0.26,440.49,48.32,131.37,7.25,0.21,1.07
2001,9,9,1.56,6.32,5.41,0.16,0.18,435.83,34.34,122.38,5.08,0.16,0.8
2001,9,10,4.06,6.53,6.38,0.41,0.48,432.99,83.63,127.69,11.63,0.34,1.72
2001,9,11,5.94,6.61,4.26,0.59,0.7,426.8,117.21,128.9,15.34,0.44,2.28
2001,9,12,5.41,6.59,4.56,0.54,0.64,426.55,106.94,127.45,14.05,0.4,2.02
2001,9,13,5.98,6.55,5.02,0.6,0.71,420.35,116.13,125.69,15.1,0.41,2.08
2001,9,14,6.06,6.39,4.04,0.61,0.73,417.87,116.73,122.09,14.84,0.38,1.98
2001,9,15,5.72,6.41,4.48,0.58,0.69,422.01,110.83,122.51,14.25,0.38,1.95
2001,9,16,5.78,6.47,6.32,0.59,0.7,429.18,112.89,124.8,14.65,0.41,2.08
2001,9,17,5.22,6.21,8.19,0.53,0.63,434.27,102.55,119.39,13.45,0.38,1.91
2001,9,18,4.27,6.2,7.36,0.44,0.52,435.26,85.78,119.39,11.56,0.32,1.64
